Code	Category	Decision_FW
M1300	1	exclusion code
M1305	1	exclusion code
M1306	1	exclusion code
M1309	1	exclusion code
M1310	1	exclusion code
M1315	1	exclusion code
M1316	1	exclusion code
M138	1	exclusion code
M1380	1	exclusion code
M1385	1	exclusion code
M1386	1	exclusion code
M139	1	exclusion code
M1390	1	exclusion code
M1395	1	exclusion code
M1396	1	exclusion code
M15	1	exclusion code
M150	1	exclusion code
M153	1	exclusion code
M158	1	exclusion code
M159	1	exclusion code
M1599	1	exclusion code
M16	1	exclusion code
M160	1	exclusion code
M161	1	exclusion code
M164	1	exclusion code
M165	1	exclusion code
M166	1	exclusion code
M167	1	exclusion code
M169	1	exclusion code
M17	1	exclusion code
M170	1	exclusion code
M171	1	exclusion code
M172	1	exclusion code
M173	1	exclusion code
M174	1	exclusion code
M175	1	exclusion code
M179	1	exclusion code
M1900	1	exclusion code
M1905	1	exclusion code
M1906	1	exclusion code
M1907	1	exclusion code
M1910	1	exclusion code
M1915	1	exclusion code
M1916	1	exclusion code
M1917	1	exclusion code
M1920	1	exclusion code
M1925	1	exclusion code
M1926	1	exclusion code
M1927	1	exclusion code
M1980	1	exclusion code
M1985	1	exclusion code
M1986	1	exclusion code
M1987	1	exclusion code
M1990	1	exclusion code
M1995	1	exclusion code
M1996	1	exclusion code
M1997	1	exclusion code
M125	1	exclusion code
M1257	1	exclusion code
M1280	1	exclusion code
M1285	1	exclusion code
M1286	1	exclusion code
M1287	1	exclusion code
M15	1	exclusion code
M16	1	exclusion code
M17	1	exclusion code
M19	1	exclusion code
M94.3	1	exclusion code
M94.35	1	exclusion code
M94.36	1	exclusion code
M94.38	1	exclusion code
M2570	1	exclusion code
M2575	1	exclusion code
M2576	1	exclusion code
M2577	1	exclusion code
M162	1	exclusion code
M163	1	exclusion code
M8947	1	exclusion code
M8940	1	exclusion code
M8945	1	exclusion code
M8946	1	exclusion code
M8947	1	exclusion code
M9435	1	exclusion code
M9436	1	exclusion code
M1210	1	exclusion code
M9665	2	exclusion code
T8402	2	exclusion code
S720	3	exclusion code
S7200	3	exclusion code
S7201	3	exclusion code
S721	3	exclusion code
S7210	3	exclusion code
S7211	3	exclusion code
S722	3	exclusion code
S7220	3	exclusion code
S7221	3	exclusion code
S73	3	exclusion code
S730	3	exclusion code
S76	3	exclusion code
S760	3	exclusion code
S767	3	exclusion code
S77	3	exclusion code
S771	3	exclusion code
S797	3	exclusion code
M9075	3	exclusion code
M2435	3	exclusion code
M2445	3	exclusion code
M2435	3	exclusion code
M220	4	exclusion code
M221	4	exclusion code
M2210	4	exclusion code
M235	4	exclusion code
M2350	4	exclusion code
M2351	4	exclusion code
M2352	4	exclusion code
M2353	4	exclusion code
M2354	4	exclusion code
M2355	4	exclusion code
M2356	4	exclusion code
M2357	4	exclusion code
M2359	4	exclusion code
M2430	4	exclusion code
M2436	4	exclusion code
M2440	4	exclusion code
M2446	4	exclusion code
M111	5	exclusion code
M1110	5	exclusion code
M1116	5	exclusion code
M1120	5	exclusion code
M1126	5	exclusion code
M2100	5	exclusion code
M2106	5	exclusion code
M2110	5	exclusion code
M2116	5	exclusion code
M2120	5	exclusion code
M230	5	exclusion code
M2300	5	exclusion code
M2301	5	exclusion code
M2302	5	exclusion code
M2303	5	exclusion code
M2304	5	exclusion code
M2305	5	exclusion code
M2306	5	exclusion code
M2307	5	exclusion code
M2309	5	exclusion code
M232	5	exclusion code
M2320	5	exclusion code
M2321	5	exclusion code
M2322	5	exclusion code
M2323	5	exclusion code
M2324	5	exclusion code
M2325	5	exclusion code
M2326	5	exclusion code
M2327	5	exclusion code
M2329	5	exclusion code
M233	5	exclusion code
M2330	5	exclusion code
M2331	5	exclusion code
M2332	5	exclusion code
M2333	5	exclusion code
M2334	5	exclusion code
M2335	5	exclusion code
M2336	5	exclusion code
M2337	5	exclusion code
M2339	5	exclusion code
M234	5	exclusion code
M2340	5	exclusion code
M2341	5	exclusion code
M2342	5	exclusion code
M2343	5	exclusion code
M2344	5	exclusion code
M2345	5	exclusion code
M2346	5	exclusion code
M2347	5	exclusion code
M2349	5	exclusion code
M238	5	exclusion code
M2380	5	exclusion code
M2381	5	exclusion code
M2382	5	exclusion code
M2383	5	exclusion code
M2384	5	exclusion code
M2385	5	exclusion code
M2386	5	exclusion code
M2387	5	exclusion code
M2389	5	exclusion code
M239	5	exclusion code
M2390	5	exclusion code
M2391	5	exclusion code
M2392	5	exclusion code
M2393	5	exclusion code
M2394	5	exclusion code
M2395	5	exclusion code
M2396	5	exclusion code
M2397	5	exclusion code
M2399	5	exclusion code
M2400	5	exclusion code
M2410	5	exclusion code
M2430	5	exclusion code
M2440	5	exclusion code
M2450	5	exclusion code
M2460	5	exclusion code
M2470	5	exclusion code
M2476	5	exclusion code
M2526	5	exclusion code
M8550	5	exclusion code
M8556	5	exclusion code
M8720	5	exclusion code
M8726	5	exclusion code
M8736	5	exclusion code
M8780	5	exclusion code
M8786	5	exclusion code
M8790	5	exclusion code
M8796	5	exclusion code
M8920	5	exclusion code
M8926	5	exclusion code
M8940	5	exclusion code
M8946	5	exclusion code
M9326	5	exclusion code
M9386	5	exclusion code
M9436	5	exclusion code
M9480	5	exclusion code
M9496	5	exclusion code
M0236	6	exclusion code
M0286 	6	exclusion code
M0296	6	exclusion code
M05	6	exclusion code
M050	6	exclusion code
M0500	6	exclusion code
M0509	6	exclusion code
M051	6	exclusion code
M052	6	exclusion code
M0520	6	exclusion code
M0524	6	exclusion code
M0526	6	exclusion code
M0528	6	exclusion code
M0529	6	exclusion code
M053	6	exclusion code
M0530	6	exclusion code
M0538	6	exclusion code
M0539	6	exclusion code
M058	6	exclusion code
M0580	6	exclusion code
M0582	6	exclusion code
M0583	6	exclusion code
M0584	6	exclusion code
M0586	6	exclusion code
M0587	6	exclusion code
M0588	6	exclusion code
M0589	6	exclusion code
M059	6	exclusion code
M0590	6	exclusion code
M0591	6	exclusion code
M0592	6	exclusion code
M0593	6	exclusion code
M0594	6	exclusion code
M0595	6	exclusion code
M0596	6	exclusion code
M0597	6	exclusion code
M0598	6	exclusion code
M0599	6	exclusion code
M06	6	exclusion code
M060	6	exclusion code
M0600	6	exclusion code
M0601	6	exclusion code
M0602	6	exclusion code
M0603	6	exclusion code
M0604	6	exclusion code
M0605	6	exclusion code
M0606	6	exclusion code
M0607	6	exclusion code
M0608	6	exclusion code
M0609	6	exclusion code
M061	6	exclusion code
M0610	6	exclusion code
M0611	6	exclusion code
M0616	6	exclusion code
M0619	6	exclusion code
M064	6	exclusion code
M0640	6	exclusion code
M0641	6	exclusion code
M0643	6	exclusion code
M0644	6	exclusion code
M0645	6	exclusion code
M0646	6	exclusion code
M0647	6	exclusion code
M0649	6	exclusion code
M068	6	exclusion code
M0680	6	exclusion code
M0681	6	exclusion code
M0682	6	exclusion code
M0684	6	exclusion code
M0685	6	exclusion code
M0686	6	exclusion code
M0687	6	exclusion code
M0688	6	exclusion code
M0689	6	exclusion code
M069	6	exclusion code
M0690	6	exclusion code
M0691	6	exclusion code
M0692	6	exclusion code
M0693	6	exclusion code
M0694	6	exclusion code
M0695	6	exclusion code
M0696	6	exclusion code
M0697	6	exclusion code
M0698	6	exclusion code
M0699	6	exclusion code
M07	6	exclusion code
M0700	6	exclusion code
M0701	6	exclusion code
M0703	6	exclusion code
M0704	6	exclusion code
M0707	6	exclusion code
M0709	6	exclusion code
M071	6	exclusion code
M0719	6	exclusion code
M072	6	exclusion code
M0720	6	exclusion code
M0726	6	exclusion code
M0728	6	exclusion code
M0729	6	exclusion code
M073	6	exclusion code
M0730	6	exclusion code
M0731	6	exclusion code
M0732	6	exclusion code
M0733	6	exclusion code
M0734	6	exclusion code
M0735	6	exclusion code
M0736	6	exclusion code
M0737	6	exclusion code
M0738	6	exclusion code
M0739	6	exclusion code
M074	6	exclusion code
M0740	6	exclusion code
M0741	6	exclusion code
M0746	6	exclusion code
M0747	6	exclusion code
M0749	6	exclusion code
M075	6	exclusion code
M0750	6	exclusion code
M0751	6	exclusion code
M0755	6	exclusion code
M0758	6	exclusion code
M0759	6	exclusion code
M076	6	exclusion code
M0760	6	exclusion code
M0764	6	exclusion code
M0766	6	exclusion code
M0769	6	exclusion code
M08	6	exclusion code
M080	6	exclusion code
M0800	6	exclusion code
M0802	6	exclusion code
M0804	6	exclusion code
M0805	6	exclusion code
M0806	6	exclusion code
M0808	6	exclusion code
M0809	6	exclusion code
M081	6	exclusion code
M0810	6	exclusion code
M0819	6	exclusion code
M082	6	exclusion code
M0820	6	exclusion code
M0822	6	exclusion code
M0825	6	exclusion code
M0826	6	exclusion code
M0828	6	exclusion code
M0829	6	exclusion code
M083	6	exclusion code
M0830	6	exclusion code
M0836	6	exclusion code
M0839	6	exclusion code
M084	6	exclusion code
M0840	6	exclusion code
M088	6	exclusion code
M089	6	exclusion code
M0890	6	exclusion code
M0896	6	exclusion code
M0899	6	exclusion code
M10	6	exclusion code
M100	6	exclusion code
M1000	6	exclusion code
M1006	6	exclusion code
M1007	6	exclusion code
M1009	6	exclusion code
M102	6	exclusion code
M1025	6	exclusion code
M1027	6	exclusion code
M1029	6	exclusion code
M103	6	exclusion code
M1036	6	exclusion code
M1037	6	exclusion code
M1039	6	exclusion code
M104	6	exclusion code
M1040	6	exclusion code
M1045	6	exclusion code
M1046	6	exclusion code
M1049	6	exclusion code
M209	6	exclusion code
M1090	6	exclusion code
M1095	6	exclusion code
M1096	6	exclusion code
M1097	6	exclusion code
M1098	6	exclusion code
M1099	6	exclusion code
M12	6	exclusion code
M120	6	exclusion code
M1204	6	exclusion code
M1207	6	exclusion code
M1209	6	exclusion code
M1225	6	exclusion code
M1226	6	exclusion code
M1227	6	exclusion code
M1180	6	exclusion code
M1185	6	exclusion code
M1186	6	exclusion code
M1187	6	exclusion code
M1190	6	exclusion code
M1195	6	exclusion code
M1196	6	exclusion code
M1197	6	exclusion code
M45X1	6	exclusion code
M45X2	6	exclusion code
M45X3	6	exclusion code
M45X4	6	exclusion code
M45X6	6	exclusion code
M45X7	6	exclusion code
M45X8	6	exclusion code
M45X9	6	exclusion code
M46	6	exclusion code
M468	6	exclusion code
M469	6	exclusion code
M0236	6	exclusion code
M0286 	6	exclusion code
M0296	6	exclusion code
M02	6	exclusion code
M0230	6	exclusion code
M0236	6	exclusion code
M0239	6	exclusion code
M028	6	exclusion code
M0285	6	exclusion code
M0286 	6	exclusion code
M0287	6	exclusion code
