Code	Category	Decision_FW
W40	1	exclusion code
W400	1	exclusion code
W401	1	exclusion code
W402	1	exclusion code
W403	1	exclusion code
W404 	1	exclusion code
W408	1	exclusion code
W409	1	exclusion code
W41	1	exclusion code
W410	1	exclusion code
W411 	1	exclusion code
W412 	1	exclusion code
W413 	1	exclusion code
W414 	1	exclusion code
W418 	1	exclusion code
W419 	1	exclusion code
W42	1	exclusion code
W420	1	exclusion code
W421 	1	exclusion code
W422 	1	exclusion code
W423 	1	exclusion code
W424	1	exclusion code
W425	1	exclusion code
W426 	1	exclusion code
W52	1	exclusion code
W521	1	exclusion code
W522	1	exclusion code
W523	1	exclusion code
W528	1	exclusion code
W529 	1	exclusion code
W53 	1	exclusion code
W530	1	exclusion code
W531	1	exclusion code
W532	1	exclusion code
W533 	1	exclusion code
W538	1	exclusion code
W54	1	exclusion code
W541	1	exclusion code
W542	1	exclusion code
W543	1	exclusion code
W544	1	exclusion code
W548	1	exclusion code
W549 	1	exclusion code
W581 	1	exclusion code
W582	1	exclusion code
W93	1	exclusion code
W930	1	exclusion code
W931	1	exclusion code
W932	1	exclusion code
W933	1	exclusion code
W938	1	exclusion code
W939	1	exclusion code
W94	1	exclusion code
W940	1	exclusion code
W941	1	exclusion code
W942	1	exclusion code
W943	1	exclusion code
W948	1	exclusion code
W949	1	exclusion code
W95	1	exclusion code
W950	1	exclusion code
W951	1	exclusion code
W952	1	exclusion code
W953	1	exclusion code
W954	1	exclusion code
W958	1	exclusion code
W959	1	exclusion code
W37	1	exclusion code
W370	1	exclusion code
W371	1	exclusion code
W372	1	exclusion code
W373	1	exclusion code
W374	1	exclusion code
W378	1	exclusion code
W379	1	exclusion code
W38	1	exclusion code
W380	1	exclusion code
W381	1	exclusion code
W382	1	exclusion code
W383	1	exclusion code
W384	1	exclusion code
W388	1	exclusion code
W389	1	exclusion code
W39	1	exclusion code
W390	1	exclusion code
W391	1	exclusion code
W392	1	exclusion code
W393	1	exclusion code
W394	1	exclusion code
W395	1	exclusion code
W396	1	exclusion code
W398	1	exclusion code
W399	1	exclusion code
W431	1	exclusion code
W441	1	exclusion code
W448	1	exclusion code
W449	1	exclusion code
W451	1	exclusion code
W458	1	exclusion code
W459	1	exclusion code
W538	1	exclusion code
W43	1	exclusion code
W430	1	exclusion code
W432	1	exclusion code
W433	1	exclusion code
W434	1	exclusion code
W438	1	exclusion code
W439	1	exclusion code
W44	1	exclusion code
W440	1	exclusion code
W442	1	exclusion code
W443	1	exclusion code
W444	1	exclusion code
W77	3	exclusion code
W771	3	exclusion code
W772	3	exclusion code
W775	3	exclusion code
W776	3	exclusion code
W777	3	exclusion code
W778	3	exclusion code
W779	3	exclusion code
W775	3	exclusion code
X09	4	exclusion code
X091	4	exclusion code
X092	4	exclusion code
X093	4	exclusion code
X094	4	exclusion code
X095	4	exclusion code
X098	4	exclusion code
X099	4	exclusion code
X22	5	exclusion code
X221	5	exclusion code
X222	5	exclusion code
X223	5	exclusion code
X224	5	exclusion code
X225	5	exclusion code
X228	5	exclusion code
X229	5	exclusion code
X23	5	exclusion code
X231	5	exclusion code
X232	5	exclusion code
X233	5	exclusion code
X234	5	exclusion code
X235	5	exclusion code
X236	5	exclusion code
X238	5	exclusion code
X239	5	exclusion code
W46	2	exclusion code
W461	2	exclusion code
W462	2	exclusion code
W463	2	exclusion code
W460	2	exclusion code
W468	2	exclusion code
W469	2	exclusion code
W47	2	exclusion code
W471	2	exclusion code
W472	2	exclusion code
W473	2	exclusion code
W470	2	exclusion code
W478	2	exclusion code
W479	2	exclusion code
W48	2	exclusion code
W481	2	exclusion code
W482	2	exclusion code
W483	2	exclusion code
W484	2	exclusion code
W485	2	exclusion code
W480	2	exclusion code
W488	2	exclusion code
W489	2	exclusion code
W404	2	exclusion code
W412	2	exclusion code
W413	2	exclusion code
W414	2	exclusion code
W410	2	exclusion code
W418	2	exclusion code
W419	2	exclusion code
W422	2	exclusion code
W423	2	exclusion code
W425	2	exclusion code
W426	2	exclusion code
W420	2	exclusion code
W428	2	exclusion code
O32	2	exclusion code
O321	2	exclusion code
O322	2	exclusion code
O323	2	exclusion code
O320	2	exclusion code
O324	2	exclusion code
O325	2	exclusion code
W559	2	exclusion code
W579	2	exclusion code
W570	2	exclusion code
W572	2	exclusion code
W573	2	exclusion code
W574	2	exclusion code
W578	2	exclusion code
W569	2	exclusion code
W560	2	exclusion code
W562	2	exclusion code
W563	2	exclusion code
W564	2	exclusion code
W568	2	exclusion code
O189	2	exclusion code
X101	9	exclusion code
