Code	Category	Decision_FW
N050	1	exclusion code
N0500	1	exclusion code
N0502	1	exclusion code
N0504	1	exclusion code
N050z	1	exclusion code
N0515	1	exclusion code
N0516	1	exclusion code
N0517	1	exclusion code
N0519	1	exclusion code
N051A	1	exclusion code
N051B	1	exclusion code
N0525	1	exclusion code
N0526	1	exclusion code
N0527	1	exclusion code
N0529	1	exclusion code
N052A	1	exclusion code
N052C	1	exclusion code
N0535	1	exclusion code
N0536	1	exclusion code
N0537	1	exclusion code
N0545	1	exclusion code
N0546	1	exclusion code
N0547	1	exclusion code
N0549	1	exclusion code
N05z5	1	exclusion code
N05z6	1	exclusion code
N05z7	1	exclusion code
N05zJ	1	exclusion code
N05zL	1	exclusion code
N05zM	1	exclusion code
N05zN	1	exclusion code
N060	1	exclusion code
N0600	1	exclusion code
N0601	1	exclusion code
N0602	1	exclusion code
N0603	1	exclusion code
N0604	1	exclusion code
N0605	1	exclusion code
N0606	1	exclusion code
N0607	1	exclusion code
N0608	1	exclusion code
N0609	1	exclusion code
N060z	1	exclusion code
N065	1	exclusion code
N0655	1	exclusion code
N0656	1	exclusion code
N0657	1	exclusion code
N0659	1	exclusion code
N065A	1	exclusion code
N065z	1	exclusion code
N0665	1	exclusion code
N0666	1	exclusion code
N0667	1	exclusion code
N067	1	exclusion code
N068	1	exclusion code
N06y5	1	exclusion code
N06y6	1	exclusion code
N06y7	1	exclusion code
N06y9	1	exclusion code
N06z5	1	exclusion code
N06z6	1	exclusion code
N06z7	1	exclusion code
N06z9	1	exclusion code
Nyu20	1	exclusion code
Nyu21	1	exclusion code
Nyu22	1	exclusion code
Nyu23	1	exclusion code
Nyu24	1	exclusion code
Nyu25	1	exclusion code
Nyu26	1	exclusion code
Nyu27	1	exclusion code
Nyu28	1	exclusion code
Nyu2E	1	exclusion code
7K20	2	exclusion code
7K200	2	exclusion code
7K201	2	exclusion code
7K202	2	exclusion code
7K203	2	exclusion code
7K204	2	exclusion code
7K205	2	exclusion code
7K206	2	exclusion code
7K207	2	exclusion code
7K20x	2	exclusion code
7K20y	2	exclusion code
7K20z	2	exclusion code
7K21	2	exclusion code
7K210	2	exclusion code
7K211	2	exclusion code
7K212	2	exclusion code
7K213	2	exclusion code
7K21x	2	exclusion code
7K21y	2	exclusion code
7K21z	2	exclusion code
7K22	2	exclusion code
7K220	2	exclusion code
7K221	2	exclusion code
7K222	2	exclusion code
7K223	2	exclusion code
7K224	2	exclusion code
7K225	2	exclusion code
7K22x	2	exclusion code
7K22y	2	exclusion code
7K22z	2	exclusion code
7K23	2	exclusion code
7K230	2	exclusion code
7K231	2	exclusion code
7K232	2	exclusion code
7K23x	2	exclusion code
7K23y	2	exclusion code
7K23z	2	exclusion code
7K24	2	exclusion code
7K240	2	exclusion code
7K241	2	exclusion code
7K242	2	exclusion code
7K24x	2	exclusion code
7K24y	2	exclusion code
7K24z	2	exclusion code
7K25	2	exclusion code
7K250	2	exclusion code
7K251	2	exclusion code
7K252	2	exclusion code
7K253	2	exclusion code
7K254	2	exclusion code
7K25x	2	exclusion code
7K25y	2	exclusion code
7K25z	2	exclusion code
7K30	2	exclusion code
7K301	2	exclusion code
7K302	2	exclusion code
7K303	2	exclusion code
7K30x	2	exclusion code
7K30y	2	exclusion code
7K30z	2	exclusion code
7K31	2	exclusion code
7K310	2	exclusion code
7K311	2	exclusion code
7K312	2	exclusion code
7K313	2	exclusion code
7K31x	2	exclusion code
7K31y	2	exclusion code
7K31z	2	exclusion code
7K32	2	exclusion code
7K320	2	exclusion code
7K321	2	exclusion code
7K322	2	exclusion code
7K323	2	exclusion code
7K324	2	exclusion code
7K325	2	exclusion code
7K326	2	exclusion code
7K32x	2	exclusion code
7K32y	2	exclusion code
7K32z	2	exclusion code
7K37	2	exclusion code
7K370	2	exclusion code
7K371	2	exclusion code
7K372	2	exclusion code
7K37x	2	exclusion code
7K38	2	exclusion code
7K380	2	exclusion code
7K381	2	exclusion code
7K382	2	exclusion code
7K38x	2	exclusion code
7K39	2	exclusion code
7K390	2	exclusion code
7K391	2	exclusion code
7K392	2	exclusion code
7K39x	2	exclusion code
7K3A	2	exclusion code
7K80	2	exclusion code
7K800	2	exclusion code
7K801	2	exclusion code
7K802	2	exclusion code
7K80x	2	exclusion code
7K81	2	exclusion code
7K810	2	exclusion code
7K811	2	exclusion code
7K812	2	exclusion code
7K81x	2	exclusion code
7K82	2	exclusion code
7K820	2	exclusion code
7K821	2	exclusion code
