SRcode	Category	Decision_FW
1465	1	exclusion code
1538	1	exclusion code
1318	2	exclusion code
1319	2	exclusion code
1318	2	exclusion code
1319	2	exclusion code
1497	2	exclusion code
1647	3	exclusion code
1648	3	exclusion code
1649	3	exclusion code
1648	3	exclusion code
1464	6	exclusion code
1477	6	exclusion code
1466	6	exclusion code
1381	6	exclusion code
1382	6	exclusion code
1373	6	exclusion code
1376	6	exclusion code
1377	6	exclusion code
1378	6	exclusion code
1379	6	exclusion code
1380	6	exclusion code
1383	6	exclusion code
1480	6	exclusion code
1481	6	exclusion code
1384	6	exclusion code
1464	6	exclusion code
1477	6	exclusion code
1466	6	exclusion code
1313	6	exclusion code
1322	6	exclusion code
1310	7	exclusion code
1308	8	exclusion code
1308	8	exclusion code
1440	9	exclusion code
1441	9	exclusion code
1433	9	exclusion code
1252	9	exclusion code
1524	9	exclusion code
1252	9	exclusion code
1524	9	exclusion code
1256	9	exclusion code
1433	9	exclusion code
1526	9	exclusion code
1433	9	exclusion code
1252	9	exclusion code
1524	9	exclusion code
1440	9	exclusion code
1441	9	exclusion code
1648	10	exclusion code
1649	10	exclusion code
1651	10	exclusion code
1652	10	exclusion code
1653	10	exclusion code
