Code	Structure	Location	Trauma
S72	0	0	1
S724	1	0	1
S7240	1	0	1
S7241	1	0	1
S7270	1	0	1
S7290	1	0	1
S7291	1	0	1
S80	0	0	0
S807	0	0	0
S81	0	0	0
S82	0	0	1
S820	1	1	1
S8200	1	1	1
S8201	1	1	1
S821	1	0	1
S8210	1	0	1
S8211	1	0	1
S822	1	0	1
S8220	0	0	1
S8221	0	0	1
S823	0	0	1
S8230	0	0	1
S8231	0	0	1
S8240	1	0	1
S8241	1	0	1
S83	1	1	0
S830	1	1	1
S831	1	1	1
S834	1	1	1
S835	1	1	1
S836	0	1	1
S837	1	1	1
S870	0	1	1
T003	0	0	1
T033	0	0	1
T043	0	0	1
V01	0	0	1
V02	0	0	1
V03	0	0	1
V04	0	0	1
V05	0	0	1
V06	0	0	1
V09	0	0	1
V10	0	0	1
V11	0	0	1
V12	0	0	1
V13	0	0	1
V14	0	0	1
V15	0	0	1
V16	0	0	1
V17	0	0	1
V18	0	0	1
V19	0	0	1
V20	0	0	1
V21	0	0	1
V22	0	0	1
V23	0	0	1
V24	0	0	1
V25	0	0	1
V26	0	0	1
V27	0	0	1
V28	0	0	1
V29	0	0	1
V30	0	0	1
V31	0	0	1
V33	0	0	1
V34	0	0	1
V35	0	0	1
V36	0	0	1
V37	0	0	1
V38	0	0	1
V39	0	0	1
V40	0	0	1
V41	0	0	1
V42	0	0	1
V43	0	0	1
V44	0	0	1
V45	0	0	1
V46	0	0	1
V47	0	0	1
V48	0	0	1
V49	0	0	1
V53	0	0	1
V54	0	0	1
V55	0	0	1
V57	0	0	1
V58	0	0	1
V59	0	0	1
V63	0	0	1
V64	0	0	1
V65	0	0	1
V67	0	0	1
V68	0	0	1
V69	0	0	1
V70	0	0	1
V72	0	0	1
V73	0	0	1
V74	0	0	1
V76	0	0	1
V77	0	0	1
V78	0	0	1
V79	0	0	1
V80	0	0	1
V81	0	0	1
V82	0	0	1
V83	0	0	1
V84	0	0	1
V85	0	0	1
V86	0	0	1
V87	0	0	1
V88	0	0	1
V89	0	0	1
V90	0	0	1
V91	0	0	1
V92	0	0	1
V93	0	0	1
V94	0	0	1
V95	0	0	1
V96	0	0	1
V97	0	0	1
V98	0	0	1
V99	0	0	1
W00	0	0	1
W01	0	0	1
W02	0	0	1
W03	0	0	1
W04	0	0	1
W05	0	0	0
W06	0	0	1
W07	0	0	1
W08	0	0	1
W09	0	0	1
W10	0	0	1
W11	0	0	1
W12	0	0	1
W13	0	0	1
W14	0	0	1
W15	0	0	1
W16	0	0	1
W17	0	0	1
W18	0	0	1
W19	0	0	1
W20	0	0	1
W21	0	0	1
W22	0	0	1
W23	0	0	1
W24	0	0	1
W28	0	0	1
W30	0	0	1
W31	0	0	1
W44	0	0	1
W45	0	0	1
W49	0	0	1
W51	0	0	1
W52	0	0	1
M233	1	1	0
S723	0	0	1
S727	0	0	1
S729	0	0	1
S761	0	1	1
S800	0	1	1
S801	0	0	1
S819	0	0	1
S824	0	0	1
S827	0	0	1
S828	0	0	1
S829	0	0	1
S832	1	1	1
S861	0	0	1
S869	1	0	1
S878	0	0	1
S898	0	0	1
S899	0	0	1
S910	0	0	1
T12X	0	0	1
T132	1	0	1
T135	1	0	1
T140	0	0	1
T149	0	0	1
X50	0	0	0
T023	1	0	1
S833	1	1	0
T025	1	0	1
S810	0	1	1
