Code	Structure	Location	Trauma
W21	1	0	1
W211	1	0	1
W214	1	0	1
W215	1	0	1
W218	1	0	1
W219	1	0	1
W22	0	0	1
W221	0	0	1
W222	0	0	1
W228	0	0	1
W229	0	0	1
W23	1	0	1
W231	1	0	1
W232	1	0	1
W233	1	0	1
W238	1	0	1
W24	1	0	1
W65	1	0	1
W651	1	0	1
W652	1	0	1
W653	1	0	1
W654	1	0	1
W655	1	0	1
W658	1	0	1
W659	1	0	1
W66	1	0	1
W661	1	0	1
W662	1	0	1
W663	1	0	1
W664	1	0	1
W668	1	0	1
W669	1	0	1
W67	1	0	1
W671	1	0	1
W672	1	0	1
W673	1	0	1
W674	1	0	1
W675	1	0	1
W676	1	0	1
W677	1	0	1
W678	1	0	1
W679	1	0	1
W70	1	1	0
W701	1	1	0
W702	1	1	0
W703	1	1	0
W708	1	1	0
W709	1	1	0
W719	1	0	0
W73	1	0	1
W731	1	1	1
W732	1	1	1
W733	1	1	1
W734	1	1	1
W738	1	0	1
W739	1	0	1
W74	1	0	1
W741	1	0	1
W742	1	1	1
W743	1	0	1
W748	1	0	1
W749	1	0	1
W75	1	0	1
W751	1	0	1
W752	1	1	1
W753	1	0	1
W758	1	0	1
W759	1	0	1
W76	1	0	0
W768	1	0	0
W77	1	0	0
W771	1	0	0
W772	1	0	0
W776	1	0	1
W777	1	0	0
W778	1	0	0
W779	1	0	0
W82	1	1	0
W821	1	1	0
W822	1	1	0
W823	1	1	0
W828	1	1	0
W829	1	1	0
W83	1	0	0
W831	1	0	0
W832	1	0	0
W833	1	0	0
W834	1	0	0
W835	1	0	0
W836	1	0	0
W837	1	0	0
W838	1	0	0
W839	1	0	0
W84	1	0	0
W841	1	1	1
W842	1	1	1
W844	1	0	0
W845	1	0	0
W848	1	0	0
W849	1	0	0
W85	0	1	0
W851	1	1	0
W852	0	1	0
W858	0	1	0
W859	0	1	0
W87	0	1	0
W871	0	1	0
W878	0	1	0
W879	0	1	0
Z587	0	1	0
Z771	0	1	0
Z787	0	1	0
Z844	0	1	0
Z845	0	1	0
Z846	0	1	0
Z765	0	1	0
Z766	0	1	0
Z774	0	1	0
W235	0	0	1
W236	0	0	1
W239	0	0	1
W242	0	0	1
W243	0	0	1
