Code	Structure	Location	Trauma
XA0HO	1	0	1
XA0HR	1	1	1
S3123	1	1	1
S3133	1	1	1
XA0HS	1	1	1
S3121	1	1	1
S3124	1	1	1
S3125	1	1	1
S3126	1	1	1
S3131	1	1	1
S3134	1	1	1
S3135	1	1	1
S3136	1	1	1
XE2ru	1	0	1
S3120	1	0	1
S312x	1	1	1
S312z	1	0	1
XA0HP	1	0	1
XE2rv	1	0	1
S3130	1	0	1
S313x	1	1	1
S313z	1	0	1
XA0HQ	1	0	1
S3x2	0	0	0
S32..	1	1	1
S321.	1	1	1
S320.	1	1	1
XaB0e	1	1	1
S3204	1	1	1
S3214	1	1	1
XA0HT	0	0	1
XA0HU	1	0	1
Xa1u3	1	1	1
S3306	1	1	1
S3316	1	1	1
Xa1u2	1	1	1
XaX6E	1	1	1
XA0HV	1	0	1
XA0HY	1	0	1
S3313	1	0	1
S3314	1	0	1
S3315	1	0	1
XE1lB	1	0	1
S3307	1	0	1
XA0HW	1	0	1
XE1lC	1	0	1
XA0HX	1	0	1
XA0Hb	1	0	1
XA0Hc	1	1	1
Xa1mx	1	1	1
S3308	1	1	1
S3318	1	1	1
Xa1my	0	0	1
S3309	0	0	1
S3319	0	0	1
S3301	1	1	1
S3311	1	1	1
S33..	1	0	1
S331.	1	0	1
S331z	1	0	1
S330.	1	0	1
S330z	1	0	1
X70AR	1	0	0
X70AS	1	0	1
Xa3gt	1	1	1
X701G	0	0	1
XA00O	0	1	1
XaW4y	0	1	1
Syu84	0	1	1
Xa2D0	0	1	1
SK170	0	1	1
XA0DB	1	1	1
XE1lS	1	1	1
S465.	1	1	1
S466.	1	1	1
S46z.	1	1	1
Xa3hi	1	1	1
Xa3hj	1	1	1
XA0DC	1	1	1
Xa1mJ	1	1	1
Xa1mK	1	1	1
S463.	1	1	1
S464.	1	1	1
S469.	1	1	1
S46A.	1	1	1
XA0Dj	1	1	0
S467.	1	1	1
S468.	1	1	1
XA0EE	1	1	1
S4F0.	1	1	1
S4F1.	1	1	1
S4F..	1	1	1
XA0EF	1	1	1
S4F4.	1	1	1
S4F5.	1	1	1
XA0Ec	1	1	1
S4F2.	1	1	1
S4F3.	1	1	1
XA0Ed	1	1	1
S4F6.	1	1	1
S4F7.	1	1	1
X700E	1	1	1
Xa9Ca	1	1	0
N0715	1	1	0
N0718	1	1	0
N0710	1	1	0
N0712	1	1	0
N0713	1	1	0
N0714	1	1	0
N0716	1	1	0
N0717	1	1	0
N0719	1	1	0
XM1NS	1	1	0
Xa9CZ	1	1	0
N0720	0	0	0
S462.	1	1	0
XM1NT	1	1	1
XM1NW	1	1	0
XA0CW	1	0	0
XA0CS	0	1	1
XA0F0	1	1	1
S541.	1	1	1
S5400	1	1	1
S540.	1	1	1
S542.	1	1	1
S54w.	0	1	1
S54y.	0	1	1
S5K..	1	1	1
S5K0.	1	1	1
S5K1.	1	1	1
S5K2.	1	1	1
S5K3.	1	1	1
S5Ky.	1	1	1
S5kz.	1	1	1
XA0FJ	1	0	1
Xa1od	1	0	1
XC0bl	1	1	1
S534.	1	1	1
X706z	1	1	1
S5U2.	1	1	1
Xa40j	1	1	1
Xa1nQ	1	0	1
SA123	1	1	1
SA125	1	1	1
SA022	1	1	1
SA024	1	1	1
7NAG5	0	1	0
X74kf	1	1	0
7NC5G	1	1	0
7NC5D	1	1	0
X74kg	1	1	0
XaFA7	1	1	0
XaFA6	1	1	0
Xa0Mx	1	1	0
XaFA9	1	1	0
XaFAA	1	1	0
Xa9qs	1	1	0
Xa9qt	1	1	0
XaABy	1	1	0
XaAEq	1	1	0
XM0RK	1	1	0
XaAEi	1	1	0
XaAEv	1	1	0
XaAEy	1	1	0
XaAF5	1	1	0
XaADk	1	1	0
X74mb	1	1	0
XaFLZ	1	1	0
X75K6	1	1	0
X75K9	1	1	0
X74me	1	1	0
X74ml	1	1	0
X75KC	1	1	0
Xaasz	0	0	1
U....	0	0	1
U0…	0	0	1
U1...	0	0	1
U10..	0	0	1
U12..	0	0	1
U1B0.	0	0	1
X0001	0	0	0
X6001	0	0	0
XaMt2	0	0	0
XaMt3	0	0	0
XS93g	1	0	0
X600a	1	1	0
X601z	0	0	0
XaCwe	0	0	0
X602C	0	0	0
X602O	0	0	0
7K101	1	1	0
Xa7Hp	1	1	0
X604Q	1	0	0
X604R	1	0	0
XaMvV	1	0	0
XaMDE	0	0	0
Xa9sb	1	0	0
X605M	1	1	0
XE09d	1	1	0
7K6GF	1	0	0
7K6GA	1	1	0
7K6GM	1	0	1
7K6GN	1	0	1
Xa7pH	1	0	1
7K6Hy	1	0	1
7K6Hz	1	0	1
Xa7pP	1	0	1
XM0oa	1	0	1
XM16z	1	1	0
XM170	1	1	0
7K36y	1	1	0
7K36z	1	1	0
7K351	1	1	0
XaB92	0	0	0
Xa8Rz	1	1	0
X604b	1	1	0
Xa9ju	1	1	0
Xa9k7	1	1	0
XE098	1	1	0
XE099	1	1	0
Xa1t8	1	1	0
Xa1t9	0	0	0
7K6W2	0	0	0
Xa1tB	1	1	0
7K353	0	0	0
XaCLk	1	1	0
XE097	1	1	0
X604Y	1	1	0
X605T	0	0	0
X605J	1	1	0
X605N	0	0	0
XM0oe	0	0	0
X605D	1	1	0
XE09W	0	0	0
XaC0K	1	1	0
X604r	1	1	0
XS7R7	1	1	1
X604t	1	1	1
XS7RA	1	1	1
X604v	1	1	1
X604u	1	1	1
X604x	1	0	1
Xa9k8	1	1	0
XE2u5	1	1	0
7K332	1	1	0
7K33y	1	1	0
7K33z	1	1	0
Xa1Q4	0	1	0
X74kN	0	1	0
Xa0Mw	1	1	0
XaAEH	1	1	0
S3122	1	1	1
S3132	1	1	1
S3303	1	1	1
S3304	1	1	1
S3305	1	1	1
S3317	0	0	1
S461.	1	1	0
S4610	1	1	0
S4611	1	1	0
S4612	1	1	0
S4613	1	1	0
S4614	1	1	0
S4615	1	1	0
S312.	1	1	1
S313.	1	1	1
.P1E2	0	0	1
.P1E3	1	0	1
.P1EZ	0	0	1
.P1F.	1	1	1
S3200	1	1	1
S3201	1	1	1
S3202	1	1	1
S3203	1	1	1
S3210	1	1	1
S3211	1	1	1
S3212	1	1	1
S3213	1	1	1
S32z.	1	1	1
S3300	1	0	1
S3310	1	0	1
S331A	1	0	1
S336.	1	0	1
S3360	1	1	1
.P1G1	1	0	1
S37..	0	0	1
S370.	0	0	1
S371.	0	0	1
S46..	1	1	1
S460.	1	1	0
S4600	1	1	0
S4601	1	1	0
S4602	1	1	0
S4603	1	1	0
S4604	1	1	0
S4605	1	1	0
.M29.	1	1	0
S4630	1	1	1
S4631	1	1	1
S4640	1	1	1
S4641	1	1	1
S4650	1	1	1
S4651	1	1	1
S4652	1	1	1
S4653	1	1	1
S4654	1	1	1
S4655	1	1	1
S4656	1	1	1
S465z	1	1	1
S4660	1	1	1
S4661	1	1	1
S4662	1	1	1
S4663	1	1	1
S4664	1	1	1
S4665	1	1	1
S4666	1	1	1
S466z	1	1	1
.P27Z	1	1	1
.P2L1	1	1	1
S5401	1	1	1
.P2L2	1	1	1
S5411	1	1	1
.P2L3	1	1	1
S5421	1	1	1
S5422	1	1	1
S543.	1	1	1
S544.	1	1	1
S545.	1	1	1
S54x.	0	0	1
.P2LZ	0	1	1
S54z.	0	1	1
S5C..	1	1	1
S5C0.	1	1	1
S5C1.	1	1	1
S5C2.	1	1	1
S5C3.	1	1	1
S5Cy.	1	1	1
S5Cz.	1	1	1
S5Kz.	1	1	1
SA1..	0	1	1
SA10.	0	1	1
.P4A3	0	1	1
.P4A.	0	0	1
SA11.	0	1	1
SA110	0	1	1
SA111	0	1	1
SA112	0	0	1
SA11z	0	1	1
.P5..	0	0	1
.P5H2	0	1	1
SE410	0	0	1
SE41z	0	1	1
SF31.	0	1	1
SF310	0	1	1
SF311	0	1	1
SF312	0	1	1
SF313	0	1	1
SF314	0	1	1
SF315	0	1	1
SF31z	0	1	1
.Q11.	0	0	1
.Q12.	0	0	1
T2...	0	0	1
T3...	0	0	1
.Q14.	0	0	1
.Q15.	0	0	1
T6...	0	0	1
.Q41.	0	0	1
S46C.	1	1	1
X700J	1	1	1
SR23.	0	0	1
SF3y.	0	0	1
XaCln	1	1	1
7K1F.	1	0	1
7K1G2	0	0	1
7K1G.	0	0	1
7K1H7	1	0	1
7K1Lf	1	0	1
7K1H5	0	0	1
XaM7z	0	0	1
7K1H.	0	0	1
X601V	0	0	1
7K1JS	0	0	1
Xa1t2	1	0	1
7K6FN	1	0	1
7K6F.	1	0	1
Xa7pE	1	0	1
XM172	0	0	1
7K6Gc	1	0	1
7K6G4	0	0	0
7K6G.	1	0	1
7K6H7	1	0	1
7K6HK	1	0	1
7K6H.	1	0	1
X604Z	1	1	0
X604d	1	1	0
X604a	1	1	0
7K6L.	1	0	0
7K6W9	1	1	1
7K6WK	1	1	1
X604y	1	1	1
X6050	1	1	1
