Code	Class
M1300	2
M1305	2
M1306	2
M1309	2
M131	2
M1310	2
M1316	2
M138	2
M1380	2
M1386	2
M139	2
M1390	2
M1396	2
M15	2
M150	2
M153	2
M158	2
M159	2
M1599	2
M170	1
M171	1
M172	1
M173	1
M174	1
M175	1
M179	1
M1900	2
M1906	2
M1910	2
M1916	2
M192	2
M1920	2
M1926	2
M1980	2
M1986	2
M1990	2
M1996	2
M125	2
M1280	2
M1286	2
M19	2
M94.3	2
M94.36	2
M2570	2
M2576	2
M8940	2
M8946	2
M9436	2
M130	2
M1319	2
M1389	2
M1399	2
M190	2
M1908	2
M1909	2
M191	2
M1918	2
M1919	2
M1928	2
M1929	2
M198	2
M1988	2
M1989	2
M199	2
M1998	2
M1999	2
M1288	2
M1289	2
M257	2
M2578	2
M2579	2
M894	2
M943	2
M9438	2
M966	2
T849	2
T848	2
Z471	2
T8402	1
