Code	Class	Location_required
W40	1	No
W400	1	No
W401	1	No
W402	1	No
W403	1	No
W404	1	No
W408	1	No
W409	1	No
W41	1	No
W410	1	No
W411	1	No
W412	1	No
W413	1	No
W414	1	No
W418	1	No
W419	1	No
W42	1	No
W420	1	No
W421	1	No
W422	1	No
W423	1	No
W424	1	No
W425	1	No
W426	1	No
W52	2	Yes
W521	2	Yes
W522	2	Yes
W523	2	Yes
W528	2	Yes
W529	2	Yes
W53	2	Yes
W530	2	Yes
W531	2	Yes
W532	2	Yes
W533	2	Yes
W538	2	Yes
W54	2	Yes
W541	2	Yes
W542	2	Yes
W543	2	Yes
W544	2	Yes
W548	2	Yes
W549	2	Yes
W582	2	Yes
W431	2	Yes
W441	2	Yes
W448	2	Yes
W449	2	Yes
W451	2	Yes
W458	2	Yes
W459	2	Yes
W43	2	Yes
W430	2	Yes
W432	2	Yes
W433	2	Yes
W434	2	Yes
W438	2	Yes
W439	2	Yes
W44	2	Yes
W440	2	Yes
W442	2	Yes
W443	2	Yes
W444	2	Yes
W428	1	No
W560	2	Yes
W562	2	Yes
W563	2	Yes
W564	2	Yes
O189	1	Yes
